odi:Representation,rdf:type,meaningLabel,odi:hasTextualReference
il-carro-storiaDue-carro,InanimateObject,Carro,"""«salito sul suo Carro parte senza nemmeno voltarsi»"""
tre-di-denari-storiaDue-provvigione,InanimateObject,Provvigione,"""«una modesta provvigione»"""
la-stella-storiaDue-scorrere-del-tempo,Symbol,Scorrere del tempo,"""«in breve volgere di Stelle»"""
il-sole-storiaDue-due-gemelli,Character,Due gemelli,"""«Dà alla luce del Sole due gemelli»"""
la-giustizia-storiaDue-giustizia,Symbol,Giustizia,"""«mi presenterò a chiedere Giustizia»"""
lo-imperatore-storiaDue-imperatore,Character,Imperatore,"""«all'Imperatore in persona, che riconoscerà in me la vera sposa del suo erede»"""
il-matto-storiaDue-uomo-in-fuga,Character,Uomo in fuga,"""«un uomo che scappa come un Matto, inseguito dai lupi»"""
la-luna-storiaDue-desolazione,Symbol,Decadenza del mondo urbano,"""«sulle dune ululano gli sciacalli, nei palazzi abbandonati sotto la Luna le finestre s'aprono come occhiaie vuote»"""
la-ruota-della-fortuna-storiaDue-ruota-degli-ingranaggi,Symbol,Movimento perpetuo degli ingranaggi,"""«i macchinari i motori le turbine continuano a ronzare e a vibrare, ogni Ruota a ingranare i suoi denti in altre ruote»"""
il-giudizio-storiaDue-giorno-del-giudizio,Event,Giorno del giudizio,"""«Riconoscono il giorno del Giudizio com'è rappresentato nei tarocchi»"""
la-torre-storiaDue-torre-di-nembrotte,InanimateObject,"Torre di Nembrotte ","""«verrà il giorno in cui una piuma butterà giù la torre di Nembrotte»"""
cavaliere-di-bastoni-storiaTre-protagonista,Character,Protagonista,"""«che attillata uniforme indossava, guernita di lucenti piastre di corazza, con una gardenia alla fibbia d'un gambale» / «i capelli bianchi, l'occhio vaneggiante, la lancia spezzata e ridotta a un troncone»"""
dieci-di-spade-storiaTre-combattimento,Event,Combattimento,"""«a fil di spada gli eserciti opposti s'aprono la strada uno nell'altro come in un Dieci di Spade»"""
cavaliere-di-spade-storiaTre-cavaliere,Character,Cavaliere,"""«un Cavaliere di Spade che spicca sugli altri per l'eleganza dell'equipaggiamento umano ed equino» / «la sua armatura [...] è completa d'ogni ammennicolo e tutta d'un colore dall'elmo ai cosciali: un blu pervinca»"""
due-di-spade-storiaTre-due-spade,Symbol,Duello,"""«le Due Spade intrecciate [...] indicano che i due si sono appartati per un duello singolare»"""
il-giudizio-storiaTre-tromba,InanimateObject,Olifante,"""«una tromba che pare quella dell'Angelo del Giudizio» / «è l'olifante che chiama a raccolta i fedeli»"""
lo-imperatore-storiaTre-imperatore,Character,Imperatore,
quattro-di-bastoni-storiaTre-bosco,FictionalPlace,Bosco,"""«L'ufficiale si butta nel bosco»"""
la-morte-storiaTre-morte,Event,Morte sul campo di battaglia,"""«Alcuni che La Morte non ha ancora irrigidito annaspano come imparando a nuotare nella fanghiglia nera del loro sangue»"""
il-matto-storiaTre-soldato-ferito,Character,Soldato ferito,"""«qualcuno così lordo e sbrindellato [...] si scopriva essere un soldato ferito e zoppicante in fuga dal campo della carneficina»"""
la-luna-storiaTre-paesaggio-notturno,Symbol,Paesaggio notturno desolato,"""«Scansando l'ululato degli sciacalli [...] Al lume della Luna»"""
sei-di-bastoni-storiaTre-albero,InanimateObject,Albero,"""«vede luccicare appesi a un albero»"""
asso-di-denari-storiaTre-scudo,InanimateObject,Scudo dorato,"""«uno scudo dorato»"""
asso-di-spade-storiaTre-spada,InanimateObject,Spada d'argento,"""«una Spada d'argento»"""
la-stella-storiaTre-cavaliere,Character,Cavaliere rivelato,"""«Il guerriero sconosciuto è fermo sulla riva e si sta spogliando dell'armatura» / «ha la pelle di giovinetta, polpe di dama, seno e grembo di regina»"""
il-penduto-storiaTre-protagonista,Character,Protagonista,"""«si sente afferrato per le braccia e le gambelegato, Appeso a testa in giù»"""
il-mondo-storiaTre-guerriera,Character,Guerriera gigantesca,"""«bagnanti nude dalle lunghe gambe, come quella che si slancia nella carta del Mondo» / «un reggimento di guerriere gigantesche»"""
la-forza-storiaTre-forza,Symbol,Forza,"""«la loro Forza di fulminee leonesse»"""
lo-eremita-storiaTre-eremita,Character,Eremita,"""«un Eremita che a lume di lanterna percorre i luoghi della battaglia componendo le spoglie dei morti e medicando le piaghe dei mutilati»"""
la-giustizia-storiaTre-amazzoni-giustiziere,Character,Amazzoni giustiziere,"""«l'esercito delle amazzoni giustiziere travolge e massacra i reggimenti e gli imperi»"""
la-torre-storiaTre-fortilizi-maschili,Symbol,Crollo del potere maschile,"""«I fieri fortilizi del nostro sesso crollano uno a uno»"""
regina-di-bastoni-storiaTre-regine-punitrici,Character,Regine punitrici,"""«Regine punitrici governeranno per i prossimi millenni»"""
la-morte-storiaQuattro-morte,Symbol,La Morte,"""«sembra intrattenere con l'Arcano Numero Tredici una brusca confidenza»"""
fante-di-bastoni-storiaQuattro-protagonista,Character,"Protagonista ","""«è un omaccione non diverso da quello che si vede nella carte del Fante di Bastoni» / «il legno a cui si appoggia nella figura sia il manico di una pala affondata in terra e lui eserciti il mestiere di becchino»"""
nove-di-coppe-storiaQuattro-urne,InanimateObject,"Urne funerarie ","""«le Coppe si profilano come urne arche avelli tra le ortiche»"""
otto-di-spade-storiaQuattro-vanghe-e-badili,InanimateObject,Vanghe e badili,"""«le Spade risuonano metalliche come vanghe o badili contro i coperchi di piombo»"""
cinque-di-bastoni-storiaQuattro-croci-storte,InanimateObject,Croci storte,"""«i Bastoni nereggiano come croci storte»"""
sette-di-denari-storiaQuattro-fuochi-fatui,Symbol,Fuochi fatui,"""«gli Ori ammiccano come fuochi fatui»"""
la-luna-storiaQuattro-paesaggio-notturno,Symbol,Paesaggio notturno,"""«Appena una nuvola scopre La Luna si leva l'ululato degli sciacalli»"""
re-di-spade-storiaQuattro-re,Character,Re,"""«un Re che s'avanza perplesso»"""
il-matto-storiaQuattro-buffone,Character,Buffone o nano di corte,"""«accompagnato dal suo buffone o nano di corte»"""
regina-di-coppe-storiaQuattro-regina,Character,Regina,"""«sua moglie»"""
lo-amore-storiaQuattro-intrigo-amore,"Event ",Intrigo d'amore,"""«sospetta un intrigo d'amore»"""
il-sole-storiaQuattro-trasparenza,Symbol,Trasparenza delle azioni,"""tutto ciò che fa sua moglie può apparire alla luce del Sole"""
dieci-di-denari-storiaQuattro-ricchezza,Symbol,Ricchezza,"""«i Denari circolanti e ben investiti»"""
sette-di-coppe-storiaQuattro-abbondanza,Symbol,Abbondanza,"""«le Coppe dell'abbondanza offerte alla sete festosa della prodiga clientela»"""
la-ruota-della-fortuna-storiaQuattro-ruota-del-grande-meccanismo,Symbol,Ruota del grande meccanismo,"""«la Ruota del grande meccanismo che gira per forza propria giorno e notte»"""
la-giustizia-storiaQuattro-giustizia-amministrativa,Symbol,Giustizia amministrativa,"""«una Giustizia rigorosa e razionale quale quella che affaccia nella sua carta un fisso volto d'impiegata allo sportello»"""
asso-di-coppe-storiaQuattro-città-del-re,FictionalPlace,"Città del re ","""«La città che lui ha costruita è sfaccetatata come un cristallo o come l'Asso di Coppe, [...] una città le cui cuspidi sovrastano le nuvole e che seppellisce le ali oscure dei suoi miasmi nelle viscere del suolo»"""
sei-di-bastoni-storiaQuattro-bosco,FictionalPlace,Bosco,"""«nel bosco dove c'eravamo tutti smarriti»"""
la-papessa-storiaQuattro-strega,Character,Donna esperta in filtri e libri d'incantesimi,"""«una figura incappucciata in un mantello da monaca» / «una mala genìa di donne [...] esperte in filtri e libri d'incantesimi, che vanno in cerca d'ingredienti per i loro malefizi»"""
la-stella-storiaQuattro-regina,Character,Regina,"""«vediamo la donna togliersi il manto e le bende monacali [...] è bella; è nuda [...] assomiglia alla regina»"""
il-giudizio-storiaQuattro-scoperchiamento-tomba,Event,Scoperchiamento d'una tomba,"""«è dello scoperchiamento d'una tomba che qui si tratta, scena che un altro tarocco prevede per il giorno del Giudizio alla fine dei tempi»"""
due-di-bastoni-storiaQuattro-due-bastoni,InanimateObject,Due bastoni,"""«Con l'aiuto di Due Bastoni»"""
il-penduto-storiaQuattro-re-morto,Character,Cadavere del re morto,"""«un morto dall'aspetto ben conservato; dal cranio pallido pende una capigliatura folta d'un nero quasi azzzurro; gli occhi sono sbarrati come da morte violenta, le labbra contratte sui denti canini»"""
asso-di-bastoni-storiaQuattro-cadavere-rianimato,Character,Cadavere rianimato,"""«ecco che il morto s'erige coem l'Asso di Bastoni»"""
fante-di-coppe-storiaQuattro-morto-che-beve,Character,Morto che beve,"""«porta alle labbra un calice che la strega gli ah offerto»"""
due-di-coppe-storiaQuattro-brindisi-di-sangue,Event,Brindisi di sangue,"""«brindano insieme, alzando bicchieri rosseggianti d'un sangue fresco e senza coaguli»"""
il-diavolo-storiaQuattro-figura-demoniaca,Character,Figura demoniaca del sabba,"""«una figura esecrabile, a un tempo uomo donna pipistrello»"""
il-mondo-storiaQuattro-riconciliazione-forze-terrestri-e-celesti,Event,"Riconciliazione delle forze terrestri e celesti ","""«la riconciliazione delle forze terrestri con quelle del cielo a simbolo della totalità del Mondo, mediante la danza d'una maga o ninfa ignuda tripudiante»"""
sette-di-spade-storiaQuattro-manovra-militare-offensiva,Event,Manovra militare aggirante e premente,"""«mio esercito, addestrato alla manovra aggirante e premente»"""
la-ruota-della-fortuna-storiaQuattro-ridda-degli-spettri,Event,Ridda degli spettri zoomorfi,"""«la ridda degli spettri zoomorfi»"""
la-ruota-della-fortuna-storiaQuattro-trappola,InanimateObject,Trappola,"""«la trappola messa su con materiali di fortuna»"""
la-ruota-della-fortuna-storiaQuattro-rampa-di-lancio,InanimateObject,Rampa di lancio,"""«la rampa di lancio in cui il Re ha incapsulato l'infernale selvaggina per scaraventarla in un'orbita senza ritorno»"""
la-luna-storiaQuattro-terreni-della-luna,FictionalPlace,Terreni vaghi della Luna,"""«scaricarla sui terreni vaghi della Luna, che da troppo tempo governa gli estri dei licantropi, le generazioni delle zanzare, i mestrui»"""
due-di-denari-storiaQuattro-traiettoria-dalla-terra-alla-luna,Event,Traiettoria dalla Terra alla Luna,"""«contempla con sguardo ansioso la curva che allaccia il Due di Denari come se scrutasse la traiettoria dalla Terra alla Luna"
la-torre-storiaQuattro-torre-più-elevata,InanimateObject,"Torre più elevata della metropoli ","""«la Torre più elevata che gratti il cielo della metropoli»"""
il-bagatto-storiaQuattro-ingegneri,Character,Ingegneri che riparano il Cervello Meccanico,"""«gli ingegneri che in quel momento s'affannano a smontare il gran Cervello Meccanico per trovare il guasto»"""
la-torre-storiaQuattro-caduta-della-regina,Event,Caduta della regina dal balcone,"""«una donna che precipita da vertiginosa altezza nel vuoto tra le facciate dei grattacieli»"""
il-penduto-storiaQuattro-regina-appesa-ai-fili,Event,Regina impigliata nei fili elettrici,"""«il corpo che prima di sfracellarsi al suolo s'impiglia per i piedi nei fili»"""
